<b>Satır {0} ({1})</b>: Lütfen bu ürün için geçerli bir <b>Bölme Miktarı (Kutu İçi Adedi)</b> giriniz. Bu değer 0'dan büyük olmalıdır.,<strong>WARNING:</strong> Printer queue busy! Number of jobs in queue: {0}. Printing of labels may be delayed.
<strong>UYARI:</strong> Yazıcı kuyruğu yoğun! Sıradaki iş sayısı: {0}. Etiketlerin basılması gecikebilir.,Name Surname / Signature / Date
Ad Soyad / İmza / Tarih,Name Surname / Signature / Date
Alan zorunludur: {0},Field is required: {0}
Alt tablo alanı bulunamadı: {0},Child tablespace not found: {0}
Alt İşlem,Sub-Operation
Alt İşlem Düzenle,Edit Subprocess
Alt İşlem Ekle,Add Subprocess
Alt İşlem eklendi,Subprocess added
Alt İşlem güncellendi,Subprocess updated
Alt İşlem silindi,Subprocess deleted
Alış Faturası,Purchase Invoice
Ana belge içinde '{0}' alt tablo alanı bulunamadı.,Subtablespace '{0}' could not be found within the main document.
Aramana uygun çalışma kartı bulunamadı.,No work cards were found matching your search.
Arkaplan görevi sıraya alındı. Tamamlandığında bildirim alacaksınız.,The background task is queued. You will receive notification when it is completed.
Arıza Açıklaması,Fault Description
Arıza Bildir,Report a Fault
Arıza Bildirildi,Fault Reported
Arıza Bildirimi,Fault Notification
Arıza Nedeni,Malfunction Cause
Arıza bildirimi oluşturulamadı.,Failed to create error report.
Arıza bildirimi oluşturuluyor...,Error notification is being generated...
Arıza yaşanan makineyi seçin (ör: M 1),Select the machine with the fault (ex: M 1)
Arızanın detaylarını yazın — bakım ekibine bu bilgi iletilecek.,Write down the details of the fault — this information will be forwarded to the maintenance team.
Ayarlar Eksik,Settings Missing
Açıklama,Explanation
Açıklama (Opsiyonel),Description (Optional)
Açıklama Zorunlu,Description Required
Açıklama yok,No description
Aşama,Stage
Aşağıdaki döviz dönüşümleri için kur bilgisi bulunamadı:\n{0},No exchange rate information was found for the following currency conversions:\n{0}
Bakım,Maintenance
Bakım Talimatı,Maintenance Instruction
Bakım talimatı bulunamadı.,No maintenance instructions found.
Barkod boş olamaz.,Barcode cannot be empty.
Barkod kaydı eklendi,Barcode record added
Barkod kaydı güncellendi,Barcode record updated
Barkod kaydı silindi,Barcode record deleted
Barkod satır kimliği (row name) bulunamadı.,Barcode row name could not be found.
Barkod satırı bulunamadı (rowname: {0}).,Barcode row not found (rowname: {0}).
Bağlı Stok Belgesi,Bonded Stock Certificate
Başarılı,Successful
Başlamamış bir işlemde duruş yapılamaz.,A process that has not started cannot be stopped.
Başlamamış işlem bitirilemez.,A process that has not started cannot be finished.
Başlangıç Tarihi,Start Date
Başlangıç Tarihi Bitiş Tarihinden sonra olamaz,Start Date cannot be later than End Date
Başlat,Start
"Beklenmeyen bir hata oluştu, işlem yapılamadı. Hata detayları sistem loglarına kaydedildi.","An unexpected error occurred, the operation could not be performed. Error details were recorded in the system logs."
Bekleyen güncellemeler var...,There are pending updates...
Belge Yaratılış Tarihi,Document Creation Date
Bildir,Report
Bilgiler,Information
Bilinmeyen change_type: {0},Unknown change_type: {0}
Bilinmiyor,Unknown
Birim,Unit
Birim ve Depo bilgileri İş Emri üzerinden otomatik atanacaktır.,Unit and Warehouse information will be automatically assigned via the Work Order.
Bitir,Finish
Bitiş Tarihi,End Date
Bitmiş,Finished
Bitmiş bir işlemde duruş yapılamaz.,A stop cannot be made in a finished transaction.
Boş Stokları Yoksay,Ignore Empty Stocks
Bu IDC kodu Work Order BOM içinde yok. Başka bir ürüne ait IDC eklenemez.,This IDC code is not present in the Work Order BOM. IDC for another product cannot be added.
Bu IDC ölçüm satırı silinecek. Emin misiniz?,This IDC measurement row will be deleted. Are you sure?
Bu barkod satırı silinecek. Emin misiniz?,This barcode line will be deleted. Are you sure?
Bu barkoda ait bir İş Emri bulunamadı: {0},No Work Order was found for this barcode: {0}
Bu belge için bir Stok Girişi Tipi seçilmemiş.,An Inventory Entry Type has not been selected for this document.
Bu depo grubunda stoğu olan ürün bulunamadı,No products in stock were found in this warehouse group
Bu durumdaki bir İş Emri için kart açılamaz: {0},A card cannot be opened for a Work Order with this status: {0}
Bu enjeksiyon ölçüm satırı silinecek. Emin misiniz?,This injection measurement line will be deleted. Are you sure?
Bu etiket henüz yazıcıya gönderilmemiş.,This label has not been sent to the printer yet.
Bu etiketi tekrar yazıcıya göndermek istediğinize emin misiniz?,Are you sure you want to send this label to the printer again?
Bu hurda satırı silinecek. Emin misiniz?,This scrap row will be deleted. Are you sure?
Bu irsaliyeye ait tüm etiketleri tekrar yazıcıya göndermek istiyor musunuz?,Do you want to send all labels for this delivery note to the printer again?
Bu işlem satırı silinecek. Emin misiniz?,This transaction line will be deleted. Are you sure?
Bu işlem zaten durdurulmuş.,This process has already been stopped.
Bu kart henüz bitirilmemiş. Gönderim (Submit) yapabilmek için önce işlemi bitirmelisiniz.,"This card is not finished yet. Before you can send, you must complete the process."
Bu kart zaten bitmiş.,This card is already finished.
Bu karta bağlı bir kalite belgesi ({0}) bulunmaktadır. Durum değişikliği sadece ilgili belge üzerinden yapılabilir.,There is a quality certificate ({0}) attached to this card. Status changes can only be made through the relevant document.
Bu krimp ölçüm satırı silinecek. Emin misiniz?,This crimp measurement line will be deleted. Are you sure?
Bu kullanıcı için Employee kaydı bulunamadı. Employee.user_id / company_email / personal_email eşleşmeli: {0},No Employee records found for this user. Employee.user_id / company_email / personal_email must match: {0}
Bu operasyon kombinasyonu zaten tanımlı: {0} / {1} / {2} (Kayıt: {3}),This combination of operations is already defined: {0} / {1} / {2} (Register: {3})
Bu Çalışma Kartı'na ait zaten bir kalite belgesi ({0}) bulunmaktadır. Yeni bir tane oluşturulamaz.,There is already a quality certificate ({0}) for this Work Card. A new one cannot be created.
Bu çalışma kartı için yetkiniz yok.,You are not authorized for this work card.
Bu çalışma kartını düzenleme yetkiniz yok.,You are not authorized to edit this work card.
Bu çalışma kartını görüntüleme yetkiniz yok.,You are not authorized to view this work card.
Bu İş Emri için okuma yetkiniz yok.,You do not have read permission for this Work Order.
Bu İş Kartı için okuma yetkiniz yok.,You do not have reading authority for this Job Card.
Bu İşlem için yetkiniz yok.,You are not authorized for this Transaction.
Bu şablonda parametre tanımlanmamış.,No parameters are defined in this template.
Calisma Karti Tag Ekleme Hatası,Work Card Tag Adding Error
Daha fazla yükle,Load more
Depo Grubu,Warehouse Group
Depo Grubu zorunludur,Warehouse Group is mandatory
Depo Grubundan Toplu Reco Oluştur,Create Bulk Reco from Repository Group
Depodan Ürünleri Getir,Fetch Items from Warehouse
Depolar (Bitmiş Ürün Depolarını Seçin),Warehouses (Select Finished Product Warehouses)
Depolar arası zıt yön,Opposite direction between warehouses
Devam Et,Continue
Devam ediyor,In progress
Değer Türü,Value Type
Dosyadan Yükle (Data Import),Load from File (Data Import)
Duruş,On Hold
Duruş Başlat,Hold
Duruş Bilgisi,On Hold Information
Duruş Kaydedildi,Posture Saved
Duruş Nedeni,On Hold Reason
Duruş Süresi (dk),Downtime (min)
Duruş kaydı yok.,There is no record of the stop.
"Duruş nedeni ""Diger"" olduğunda açıklama girmek zorunludur.","When the reason for the stoppage is ""Other"", it is mandatory to enter an explanation."
Duruş nedeni 'Diger' olduğunda açıklama girmek zorunludur.,"When the reason for the stoppage is 'Other', it is mandatory to enter a description."
Duruş nedeni olarak 'Diger' seçildiğinde açıklama girmek zorunludur. Lütfen {0}. sıradaki duruş kaydının açıklamasını doldurunuz.,"When 'Other' is selected as the reason for the suspension, it is mandatory to enter a description. Please {0}. Fill in the description of the next stop record."
Duruş sonlandırılıp işleme devam edilecek.,The stop will be terminated and the process will continue.
Duruşa geçmek için Duruş Nedeni belirtilmelidir.,"To take a stop, the Reason for the Stop must be specified."
Duruşta,On Hold
Dönem Aralığı,Term Range
Düzenle,Edit
Ekle,Add
