<b>Satır {0} ({1})</b>: Lütfen bu ürün için geçerli bir <b>Bölme Miktarı (Kutu İçi Adedi)</b> giriniz. Bu değer 0'dan büyük olmalıdır.,<b>Zeile {0} ({1})</b>: Bitte geben Sie eine gültige <b>Fachmenge (Anzahl der Kartons)</b> für dieses Produkt ein. Dieser Wert muss größer als 0 sein.
<strong>UYARI:</strong> Yazıcı kuyruğu yoğun! Sıradaki iş sayısı: {0}. Etiketlerin basılması gecikebilir.,<strong>WARNUNG:</strong> Druckerwarteschlange ausgelastet! Anzahl der Jobs in der Warteschlange: {0}. Der Etikettendruck kann sich verzögern.
Ad Soyad / İmza / Tarih,Vorname Nachname / Unterschrift / Datum
Alan zorunludur: {0},Feld ist erforderlich: {0}
Alt tablo alanı bulunamadı: {0},Untergeordneter Tablespace nicht gefunden: {0}
Alt İşlem,Unterarbeitsgang
Alt İşlem Düzenle,Unterprozess bearbeiten
Alt İşlem Ekle,Unterprozess hinzufügen
Alt İşlem eklendi,Unterprozess hinzugefügt
Alt İşlem güncellendi,Unterprozess aktualisiert
Alt İşlem silindi,Unterprozess gelöscht
Alış Faturası,Kaufrechnung
Ana belge içinde '{0}' alt tablo alanı bulunamadı.,Der Untertabellenbereich „{0}“ konnte im Hauptdokument nicht gefunden werden.
Aramana uygun çalışma kartı bulunamadı.,"Es wurden keine Personalzeiterfassungn gefunden, die Ihrer Suche entsprechen."
Arkaplan görevi sıraya alındı. Tamamlandığında bildirim alacaksınız.,"Die Hintergrundaufgabe steht in der Warteschlange. Sie erhalten eine Benachrichtigung, wenn der Vorgang abgeschlossen ist."
Arıza Açıklaması,Fehlerbeschreibung
Arıza Bildir,Melden Sie einen Fehler
Arıza Bildirildi,Fehler gemeldet
Arıza Bildirimi,Fehlerbenachrichtigung
Arıza Nedeni,Störungsursache
Arıza bildirimi oluşturulamadı.,Fehlerbericht konnte nicht erstellt werden.
Arıza bildirimi oluşturuluyor...,Es wird eine Fehlermeldung generiert...
Arıza yaşanan makineyi seçin (ör: M 1),Wählen Sie die Maschine mit dem Fehler aus (z. B. M 1).
